City,Airport Code,Trip Distance(km), Total Distance(km)
San Luis Obispo,SBP,0,0
Los Angeles,LAX,250.046474,250.046474
Santa Barbara,SBA,142.301494,392.347968
San Francisco,SFO,421.847821,814.195789
Monterey,MRY,124.068030,938.263819
Las Vegas,LAS,601.850468,1540.114287
Palm Springs,PSP,279.012406,1819.126694
Phoenix,PHX,418.448940,2237.575633
Tucson,TUS,177.486541,2415.062174
San Diego,SAN,590.408016,3005.470191
Imperial,IPL,151.008916,3156.479107
Burbank,BUR,299.150906,3455.630012
San Jose,SJC,476.725418,3932.355431
Reno,RNO,303.076046,4235.431477
Salt Lake City,SLC,677.274565,4912.706042
Vernal,VEL,211.848353,5124.554395
Annaba,AAE,9310.718864,14435.273259
Algier,ALG,409.467802,14844.741061
Bejaja,BJA,165.346843,15010.087904
Marseille,MRS,747.725144,15757.813048
Lyon,LYS,254.914332,16012.727380
Clermont-Ferrand,CFE,149.232900,16161.960280
Paris,ORY,332.419023,16494.379303
Caen,CFR,211.107565,16705.486868
Nice,NCE,848.517570,17554.004438
Monaco,MCM,18.165987,17572.170425
Aalborg,AAL,1495.225701,19067.396126
Aarhus,AAR,99.898611,19167.294737
Copenhagen,CPH,147.736768,19315.031505
Ronne,RNN,146.616620,19461.648124
Al Ain,AAN,4777.406927,24239.055051
Peshawar,PEW,1882.331182,26121.386233
Islamabad,ISB,152.303717,26273.689950
Sialkot,SKT,168.327191,26442.017141
Muscat,MCT,1861.425874,28303.443015
Chah Bahar,ZBR,295.549172,28598.992187
Bandar Abbas,BND,445.158555,29044.150742
Dubai,DXB,240.795356,29284.946098
Abu Dhabi,AZI,129.493190,29414.439288
Sir Bani Yas Island,XSB,191.072030,29605.511318
Anapa,AAQ,2681.838318,32287.349636
Moscow,DME,1157.824830,33445.174466
Nizhniy Novgorod,GOJ,378.254731,33823.429197
Samara,KUF,507.719172,34331.148369
Yekaterinburg,SVX,766.218469,35097.366839
Kurgan,KRO,318.782112,35416.148950
Altay,AAT,1768.016576,37184.165526
Urumqi,URC,443.077319,37627.242845
Korla,KRL,269.057437,37896.300283
Hami,HMI,633.101504,38529.401786
Xi'an,XIY,1604.414755,40133.816541
Qingyang,IQN,183.115143,40316.931684
Lanzhou,LHW,360.468908,40677.400592
Yinchuan,INC,337.499179,41014.899771
Bayannur,RLK,309.461153,41324.360924
Hohhot,HET,343.477767,41667.838691
Dongsheng,DSN,188.239399,41856.078090
Taiyuan,TYN,324.433444,42180.511534
Changzhi,CIH,172.480790,42352.992325
Datong,DAT,425.104019,42778.096344
Beijing,NAY,249.705896,43027.802240
Chifeng,CIF,345.053450,43372.855689
Tianjin,TSN,370.094565,43742.950254
Dalian,DLC,362.453182,44105.403437
Yantai,YNT,174.519730,44279.923167
Jinan,TNA,373.320608,44653.243775
Zhengzhou,CGO,400.536854,45053.780628
Nanyang,NNY,205.241677,45259.022306
Hangzhou,HGH,800.940892,46059.963197
Fuzhou,FOC,483.470833,46543.434030
Taipei,TPE,184.114919,46727.548949
Quanzhou,JJN,268.296799,46995.845748
Yiwu,YIW,525.496784,47521.342533
Xiamen,XMN,566.166684,48087.509216
Taichung,RMQ,254.325348,48341.834564
Hualien,HUN,104.584224,48446.418788
Kaohsiung,KHH,206.431520,48652.850308
Makung,MZG,132.692963,48785.543271
Kinmen,KNH,160.461781,48946.005052
Araxa,AAX,18408.931626,67354.936678
Patos de Minas,POJ,110.587040,67465.523718
Belo Horizonte,PLU,297.120216,67762.643934
Ipatinga,IPN,158.931808,67921.575742
Sao Paulo,GRU,603.110157,68524.685899
Ribeirao Preto,RAO,288.625760,68813.311659
Sao Jose Do Rio Preto,SJP,173.117688,68986.429347
Campinas,VCP,338.052015,69324.481362
Araracuara,AQA,167.952829,69492.434192
Al Ghaidah Intl,AAY,11704.053287,81196.487478
Sanaa,SAH,854.672675,82051.160153
Hodeidah,HOD,155.831995,82206.992148
Jeddah,JED,869.318085,83076.310233
Yenbo,YNB,296.044417,83372.354650
Riyadh,RUH,877.921061,84250.275712
Dawadmi,DWD,237.679691,84487.955402
Abakan,ABA,5053.761399,89541.716801
Irkutsk,IKT,884.069270,90425.786071
Ulan-ude,UUD,214.700825,90640.486896
Chita,HTA,403.074930,91043.561825
Manzhouli,NZH,393.317731,91436.879557
Choibalsan,COQ,252.694585,91689.574141
Hailar,HLD,398.362775,92087.936916
Jiagedaqi District,JGD,334.384116,92422.321032
Mohe County,OHE,305.538850,92727.859882
Heihe,HEK,448.354106,93176.213988
Harbin,HRB,520.347872,93696.561860
Jiamusi,JMU,351.383576,94047.945435
Khabarovsk,KHV,400.003659,94447.949094
Yuzhno-sakhalinsk,UUS,591.822015,95039.771109
Yuzhno-Kurilsk,DEE,424.593097,95464.364207
,ABB,14078.886131,109543.250337
Lagos,LOS,818.951610,110362.201947
Cotonou,COO,106.359941,110468.561888
Lome,LFW,126.687753,110595.249641
Accra,ACC,169.107858,110764.357499
Takoradi,TKD,194.725939,110959.083438
Abadan,ABD,5942.211374,116901.294813
Shiraz,SYZ,430.216196,117331.511008
Bushehr,BUZ,182.667717,117514.178725
Teheran,THR,751.283128,118265.461854
Noshahr,NSH,109.170282,118374.632136
Mashhad,MHD,732.830789,119107.462925
Herat,HEA,325.244848,119432.707774
Kabul,KBL,641.957377,120074.665151
Mazar-i-sharif,MZR,299.037863,120373.703013
Tehran,IKA,1448.781878,121822.484891
Sulaymaniyah,ISU,528.688036,122351.172927
Amman,AMM,962.084925,123313.257852
Tel-aviv,TLV,109.320457,123422.578309
Elat,ETH,272.529796,123695.108106
Haifa,HFA,361.265436,124056.373541
Allentown,ABE,9177.918509,133234.292050
Philadelphia,PHL,88.386391,133322.678441
Newark,EWR,128.844480,133451.522921
Albany,ALB,230.610280,133682.133201
Boston,BOS,232.988074,133915.121275
Provincetown,PVC,72.271443,133987.392718
Abilene,ABI,2802.704298,136790.097016
Dallas-Fort Worth,DFW,253.332637,137043.429652
Waco,ACT,144.087193,137187.516845
Abidjan,ABJ,10012.730254,147200.247099
Bobo-dioulasso,BOY,657.411066,147857.658165
Ouagadougou,OUA,334.281346,148191.939511
Niamey,NIM,419.758365,148611.697876
Abuja,ABV,744.504505,149356.202381
Enugu,ENU,283.520851,149639.723232
Addis Ababa,ADD,3452.063682,153091.786914
Jimma,JIM,262.412727,153354.199641
Arba Minch,AMH,200.039363,153554.239004
Ambler,ABL,11788.809946,165343.048949
Shungnak,SHG,38.747503,165381.796452
Kobuk,OBU,11.880785,165393.677237
Kotzebue,OTZ,248.673314,165642.350551
Noorvik,ORV,69.308140,165711.658691
Kiana,IAN,31.027353,165742.686044
Amberley,ABM,9792.660996,175535.347040
Cairns,CNS,749.615878,176284.962918
Townsville,TSV,283.991528,176568.954446
Mackay,MKY,330.159401,176899.113846
Rockhampton,ROK,279.590853,177178.704699
Gladstone,GLT,93.509137,177272.213837
Brisbane,BNE,434.480755,177706.694592
Toowoomba,TWB,119.810883,177826.505474
St George,SGO,331.521343,178158.026817
Cunnamulla,CMA,291.780009,178449.806827
Thargomindah,XTG,177.853616,178627.660443
Albuquerque,ABQ,13429.953325,192057.613768
Los Alamos,LAM,98.298140,192155.911908
Aberdeen,ABR,1251.709254,193407.621162
Minneapolis,MSP,412.451054,193820.072216
Rochester,RST,122.515183,193942.587399
Chicago,ORD,431.116215,194373.703614
Milwaukee,MKE,107.707649,194481.411263
Detroit,DTW,380.796729,194862.207993
Lansing,LAN,119.161244,194981.369236
Washington,DCA,770.407031,195751.776267
Norfolk,ORF,229.707854,195981.484122
Baltimore,BWI,256.885056,196238.369177
New York,JFK,295.361195,196533.730373
Syracuse,SYR,335.605983,196869.336356
Toronto,YYZ,291.604110,197160.940466
London,YXU,142.279687,197303.220153
Ottawa,YOW,505.722974,197808.943127
Montreal,YUL,151.459205,197960.402332
Quebec,YQB,232.974399,198193.376731
Mont Joli,YYY,312.465438,198505.842169
Baie Comeau,YBC,58.254287,198564.096456
Wabush,YWK,431.641498,198995.737954
Churchill Falls,ZUM,196.825455,199192.563409
Goose Bay,YYR,245.240276,199437.803685
Rigolet,YRG,160.942799,199598.746484
Makkovik,YMN,110.244492,199708.990976
Postville,YSO,42.457410,199751.448386
Hopedale,YHO,66.116083,199817.564469
Abu Simbel,ABS,8088.417972,207905.982441
Aswan,ASW,215.522099,208121.504541
Cairo,CAI,698.850845,208820.355386
Alexandria,HBE,186.094118,209006.449504
Tobruk,TOB,559.384165,209565.833669
Tripoli,TIP,1014.103837,210579.937507
Djerba,DJE,259.320280,210839.257786
Enfidha,NBE,246.634510,211085.892297
Zurich,ZRH,1275.935895,212361.828191
Stuttgart,STR,145.109700,212506.937891
Frankfurt,FRA,156.536043,212663.473934
Luxemburg,LUX,173.052153,212836.526087
Saarbruecken,SCN,79.484975,212916.011062
Hamburg,HAM,529.927885,213445.938947
Westerland,GWT,178.302026,213624.240972
Duesseldorf,DUS,416.390898,214040.631871
Amsterdam,AMS,178.347572,214218.979442
Brussels,BRU,157.661420,214376.640863
Strasbourg,SXB,346.523107,214723.163969
Lille,LIL,397.185146,215120.349115
Liege,LGG,166.332805,215286.681920
Bastia,BIA,950.143524,216236.825445
Geneva,GVA,489.615525,216726.440970
Lugano,LUG,217.477813,216943.918783
El-baha,ABT,4124.976954,221068.895737
Dammam,DMM,1079.094074,222147.989811
Bahrain,BAH,86.185599,222234.175409
Doha,DOH,145.963368,222380.138777
Lar,LRR,388.199725,222768.338503
Sharjah,SHJ,284.229364,223052.567867
Al-ahsa,HOF,606.322503,223658.890371
Albury,ABX,12261.993830,235920.884201
Melbourne,MEL,259.331061,236180.215262
King Island,KNS,258.979612,236439.194874
Burnie,BWT,200.345130,236639.540004
Launceston,LST,138.037814,236777.577818
Flinders Island,FLS,174.410536,236951.988353
Acapulco,ACA,13075.007992,250026.996345
Toluca,TLC,287.571295,250314.567640
Zihuatanejo,ZIH,277.778890,250592.346530
Mexico City,MEX,324.085768,250916.432298
Morelia,MLM,209.673254,251126.105552
Houston,IAH,1263.731311,252389.836863
College Station,CLL,118.952599,252508.789462
Las Palmas,ACE,7788.962891,260297.752353
